/*--------------------------------*- C++ -*----------------------------------*\
| =========                 |                                                 |
| \\      /  F ield         | OpenFOAM: The Open Source CFD Toolbox           |
|  \\    /   O peration     | Version:  2312                                  |
|   \\  /    A nd           | Website:  www.openfoam.com                      |
|    \\/     M anipulation  |                                                 |
\*---------------------------------------------------------------------------*/
FoamFile
{
    version     2.0;
    format      ascii;
    arch        "LSB;label=32;scalar=64";
    class       vectorField;
    location    "constant";
    object      positions.dat;
}
// * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * //

(
(-2.20564 0.16934 -0.126562)
(-2.20564 0.152465 -0.120938)
(-2.20564 0.158089 -0.120938)
(-2.20564 0.152465 -0.115312)
(-2.20564 0.158089 -0.115312)
(-2.20564 0.163714 -0.120938)
(-2.20564 0.16934 -0.120938)
(-2.20564 0.163714 -0.115312)
(-2.20564 0.16934 -0.115312)
(-2.20564 0.13559 -0.109687)
(-2.20564 0.129965 -0.104063)
(-2.20564 0.13559 -0.104063)
(-2.20564 0.141214 -0.109687)
(-2.20564 0.146839 -0.109687)
(-2.20564 0.141214 -0.104063)
(-2.20564 0.146839 -0.104063)
(-2.20564 0.129965 -0.0984375)
(-2.20564 0.13559 -0.0984375)
(-2.20564 0.129965 -0.0928125)
(-2.20564 0.13559 -0.0928125)
(-2.20564 0.141214 -0.0984375)
(-2.20564 0.146839 -0.0984375)
(-2.20564 0.141214 -0.0928125)
(-2.20564 0.146839 -0.0928125)
(-2.20564 0.152465 -0.109687)
(-2.20564 0.158089 -0.109687)
(-2.20564 0.152465 -0.104063)
(-2.20564 0.158089 -0.104063)
(-2.20564 0.163714 -0.109687)
(-2.20564 0.16934 -0.109687)
(-2.20564 0.163714 -0.104063)
(-2.20564 0.16934 -0.104063)
(-2.20564 0.152465 -0.0984375)
(-2.20564 0.158089 -0.0984375)
(-2.20564 0.152465 -0.0928125)
(-2.20564 0.158089 -0.0928125)
(-2.20564 0.163714 -0.0984375)
(-2.20564 0.16934 -0.0984375)
(-2.20564 0.163714 -0.0928125)
(-2.20564 0.16934 -0.0928125)
(-2.20564 0.174965 -0.132188)
(-2.20564 0.18059 -0.132188)
(-2.20564 0.174965 -0.126562)
(-2.20564 0.18059 -0.126562)
(-2.20564 0.186214 -0.132188)
(-2.20564 0.19184 -0.132188)
(-2.20564 0.186214 -0.126562)
(-2.20564 0.19184 -0.126562)
(-2.20564 0.174965 -0.120938)
(-2.20564 0.18059 -0.120938)
(-2.20564 0.174965 -0.115312)
